road_name,road_type,longitude,latitude
Muthuswamy Road,primary,80.2844352,13.0852831
,secondary_link,80.2577323,13.0387094
CV Raman Road,secondary,80.254416,13.0350631
Kamarajar Salai,tertiary,80.2599022,13.018654
Kaliamman Koil Street,secondary,80.1934851,13.0557089
Haddows Road,primary,80.2477466,13.0679245
Durgabai Deshmukh Road,primary,80.2589687,13.0082519
Kavingar Bharathidasan Road,secondary,80.2535574,13.0351525
Besant Road,secondary,80.2798381,13.0505402
Loop Road,tertiary,80.2739707,13.0240343
RK Mutt Road,secondary,80.2665819,13.029222
Greams Road,tertiary,80.2544295,13.0630376
,secondary,80.2543613,13.066892
Sardar Patel Road,primary,80.2286092,13.0091943
Velachery Bypass Road,primary,80.2195754,12.9914347
Inner Ring Road,primary,80.2045279,13.0145223
Goudia Mutt Road,secondary,80.2616175,13.0482192
TTK Road,secondary,80.2598607,13.0453213
Kalaingar Karunanidhi Salai,primary,80.2474759,12.8976224
Gandhi Mandapam Road,secondary,80.2431284,13.0241214
RK Mutt Road,secondary,80.2654342,13.0253858
RK Mutt Road,secondary,80.2626659,13.0202745
RK Mutt Road,secondary,80.2630463,13.0214597
Taramani Road,tertiary,80.2517351,12.9862657
,tertiary,80.2434345,12.9812926
4th Main Road,secondary,80.2311871,13.0276423
1st Main Road,secondary,80.2313679,13.0260918
,primary_link,80.201542,13.0762716
Pallavan Salai,secondary,80.276291,13.0770794
Rattan Bazaar Road,secondary,80.282541,13.0883111
Evening Bazaar Road,secondary,80.280899,13.0858418
Broadway Road,secondary,80.2864484,13.0962443
Rasappa Chetty Street,tertiary,80.280899,13.0858418
Evening Bazaar Road,secondary,80.2790854,13.0837083
Pasumpon Muthuramalingar Thevar Salai,secondary,80.2537843,13.0271502
Lakshmi Street,tertiary,80.2208454,13.0351348
Tank Bund Road,secondary,80.2426311,13.0568463
McNichols Road,primary,80.2435118,13.0638279
,primary_link,80.2501962,13.0513046
,primary_link,80.2509799,13.0525591
Cathedral Road,primary,80.251522,13.0518475
,primary_link,80.2509799,13.0525591
Anna Salai (Mount Road),primary,80.2524552,13.0534712
Anna Salai (Mount Road),primary,80.2244405,13.0187266
,primary_link,80.2525012,13.0533907
Alwarpet Flyover,secondary,80.2569984,13.0355274
TTK Road,secondary,80.2583486,13.0408597
,secondary_link,80.2591169,13.0387272
Bharathi Salai,tertiary,80.2772677,13.0581789
Wallajah Road,secondary,80.2807376,13.0642286
,secondary,80.2809677,13.064248
Babu Jagjivanram Salai,tertiary,80.2782735,13.0642773
Swami Sivananda Salai,tertiary,80.2843359,13.0678099
,secondary,80.2110096,13.009488
Alandur Road,secondary,80.2195154,13.0193299
Alandur Road,secondary,80.2103263,13.0085663
St. Mary's Road,secondary,80.2640795,13.029395
St. Mary's Road,secondary,80.2640795,13.029395
Triplicane High Road,secondary,80.2737522,13.0527706
Appu Street,tertiary,80.2746441,13.0289854
Rajaji Salai,primary,80.2845626,13.0694636
Rajaji Salai,primary,80.2891572,13.0827928
Rukmani Lakshmipathi Road,secondary,80.2607313,13.066434
Montieth Road,secondary,80.2567411,13.0695183
Casa Major Road,secondary,80.2560539,13.0687966
Gengu Reddy Road,secondary,80.252516,13.0739651
Harris Bridge,secondary,80.2686407,13.0685231
Rukmani Lakshmipathi Road,tertiary,80.2607313,13.066434
Chari Road,tertiary,80.2324233,13.0703508
Besant Road,secondary,80.2737522,13.0527706
Dr Natesan Road,secondary,80.2743187,13.0434299
,secondary_link,80.2361806,13.0629321
Sterling Road,secondary,80.2433294,13.0657283
RA Puram 2nd Main Road,secondary,80.2543568,13.0271317
Turnbulls Road,tertiary,80.2450844,13.0275807
Nandanam Link Road,tertiary,80.2371576,13.0311621
Sadulla Street,tertiary,80.2369969,13.0331386
South Dhandapani Street,tertiary,80.2331176,13.0346618
Gengu Reddy Road,secondary,80.2524185,13.0738837
Halls Road,secondary,80.257504,13.0745092
,primary,80.2405428,13.0738862
Cathedral Road,primary,80.2564512,13.0460945
,primary_link,80.251161,13.0519536
RajaLaxmi Nagar 3rd Main Road,tertiary,80.217938,12.9842224
Kasturibai Nagar 3rd Cross Street,tertiary,80.2516348,13.0067735
Adyar Flyover,secondary,80.2577905,13.0067676
Sardar Patel Road,primary,80.2577917,13.0066539
Thiru Vi Ka Bridge,primary,80.2592891,13.0147115
Sardar Patel Road,primary,80.2591859,13.0107556
,secondary,80.2594277,13.007651
Thiru Vi Ka Bridge,primary,80.2590537,13.0116503
,primary_link,80.2589687,13.0082519
,primary,80.2591881,13.0116452
Natesan Colony,tertiary,80.2597945,13.035474
CV Raman Road,tertiary,80.2570577,13.034865
Cenotaph 1st Street,tertiary,80.2458868,13.0342924
Warren Road,tertiary,80.2604177,13.0330857
Bakthavachalam Road,tertiary,80.2600554,13.0332825
Desika Road,tertiary,80.2587979,13.0355382
Turnbulls 1st Main Road,tertiary,80.2454439,13.0276119
Thiruvalluvar Salai,tertiary,80.2513739,13.0387852
Lotus Colony 1st Street,tertiary,80.2398596,13.0291007
TTK Road,secondary,80.2498159,13.0288622
Archbishop Mathias Road,tertiary,80.2490265,13.0278423
Alwarpet Street,tertiary,80.2516257,13.0335097
Chitranjan Road,tertiary,80.2495095,13.032961
St. Mary's Road,secondary,80.2501638,13.0293291
Avvai Shanmugam Salai,tertiary,80.268773,13.0475239
TTK 1st Cross,tertiary,80.2525217,13.0324844
Hindi Prachar Sabha Road,tertiary,80.2382686,13.0335189
Burkit Road,secondary,80.2334729,13.0346157
New Boag Road,secondary,80.2307615,13.030776
South West Boag Road,tertiary,80.2370632,13.0319889
3rd Main Road,secondary,80.2328321,13.0279325
Kumaran Colony 1st Street,tertiary,80.2216806,13.0284662
Bazullah Road,tertiary,80.2303773,13.0476602
Cathedral Garden Road,tertiary,80.24958,13.0513771
,tertiary,80.2456064,13.0527693
Casa Major Road,secondary,80.2540178,13.0710827
Madley subway,tertiary,80.2262679,13.0355774
Madley Road,tertiary,80.2277417,13.0352431
Aranganathan Subway,secondary,80.2261679,13.0280355
Kodambakkam Railway Flyover,primary,80.2282857,13.0540563
,tertiary,80.185461,12.9939188
Terminal Link Road,tertiary,80.1666646,12.981805
4th Avenue (Santhi Colony Road),tertiary,80.2101037,13.0825632
5th Avenue,tertiary,80.2100974,13.0832094
Anna Nagar 2nd Avenue,secondary,80.224195,13.0852877
Kilpauk Garden Road,secondary,80.2306084,13.082849
Maniakara Choultry Road,tertiary,80.286846,13.1044895
Ebrahim Shahib street,primary,80.2947831,13.1027889
Ebrahim Sahib Street,primary,80.2935208,13.1018401
,primary,80.2911146,13.102467
Padavattamman Koil Street,secondary,80.2759489,13.1038999
,primary,80.2708892,13.1042712
Cemetry Road,secondary,80.2812929,13.1104606
West Madha Church Street,secondary,80.2941087,13.1086868
Basin Bridge,primary,80.2726308,13.1037814
Flowers Road,tertiary,80.2500603,13.0809584
Gangadeeshwar Koil Street,primary,80.254702,13.0854189
Ritherdon Road,secondary,80.2587891,13.0793192
Vepery Church Road,tertiary,80.2605989,13.0867197
,secondary_link,80.2629632,13.0883726
General Hospital Road,primary,80.271122,13.0810532
Strahans Road,primary,80.2510617,13.0982721
